Dia-phoneme[1]		PhonesExamples
p		pʰ, ppen, spin, tip
b		b, b̥but, web
t		tʰ, t, ɾ, ʔ[2]two, sting, bet
d		d, d̥, ɾ[3]do, daddy, odd
tʃ		tʃʰ, tʃchair, nature, teach
dʒ		dʒ, d̥ʒ̊gin, joy, edge
k		kʰ, kcat, kill, skin, queen, unique, thick
ɡ		ɡ, ɡ̊go, get, beg
f		ffool, enough, leaf, off, photo
v		v, v̥voice, have, of, verve
θ		θ, t̪, f[4]thing, teeth
ð		ð, ð̥, d̪, v[5]this, breathe, father
s		ssee, city, pass
z		z, z̥zoo, rose
ʃ		ʃshe, sure, session, emotion, leash
ʒ		ʒ, ʒ̊genre, pleasure, beige, equation, seizure
h		h, ɦ,[6] ç[7]ham, hue
m		m, ɱ[8]man, ham
n		nno, tin
ŋ		ŋringer, sing,[9] finger, drink
l		l, ɫ,[10] l̥, ɫ̥,[11] ɤ, o,[12]left, bell, sable, please
r		ɹʷ, ɹ, ɾ,[13] r,[14] ɻ, ɹ̥ʷ, ɹ̥, ɾ̥, ɻ̊,[11] ʋ[15]run, very, probably
w		w, ʍ[11]we, queen
j		jyes, nyala
hw		ʍ, w[16]what
Marginal consonants	Marginal consonants	Marginal consonants
x		x, χ, k, kʰ, h, ɦ, çloch (Scottish),[17] ugh[18]
ʔ		ʔuh-oh
ɬ		ɬ, l[19]Llangefni
