			BLLDD		APA		RFP		VU		EG
Ejective		Stoppʼ				tʼ		ʈʼcʼ		kʼqʼ	ʡʼ
EjectiveAffricate				t̪θʼtsʼ		t̠ʃʼʈʂʼ		kxʼ		qχʼ	
EjectiveFricative		ɸʼfʼ		θʼsʼ		ʃʼʂʼ		ɕʼxʼ		χʼ	
EjectiveLateral affricate				tɬʼ				cʎ̝̊ʼkʟ̝̊ʼ			
EjectiveLateral fricative				ɬʼ							
Click(top: velar;bottom: uvular)		Tenuiskʘqʘ		kǀqǀ		kǃqǃ		k‼q‼kǂqǂ			
Click(top: velar;bottom: uvular)Voiced		ɡʘɢʘ		ɡǀɢǀɡǃɢǃ		ɡ‼ɢ‼		ɡǂɢǂ			
Click(top: velar;bottom: uvular)Nasal		ŋʘɴʘ		ŋǀɴǀŋǃɴǃ		ŋ‼ɴ‼		ŋǂɴǂʞ 			
Click(top: velar;bottom: uvular)Tenuis lateral				kǁqǁ							
Click(top: velar;bottom: uvular)Voiced lateral				ɡǁɢǁ							
Click(top: velar;bottom: uvular)Nasal lateral				ŋǁɴǁ							
Implosive		Voicedɓ				ɗ		ᶑʄ		ɠʛ	
ImplosiveVoiceless		ɓ̥		ɗ̥		ᶑ̊		ʄ̊ɠ̊		ʛ̥	
